입사 후 포부가 무엇입니까?,1,1
"입사 5 년 후, 10년 후 자신의 모습은 어떨 것이라고 생각합니까?",1,1
본인의 직업관은 무엇이니까?,1,1
당신에게 일이 왜 중요합니까?,1,1
직장은 어떤 면을 보고 선택합니까?,1,1
일하는 목적이 무엇입니까?,1,1
과거 근무경험에서 가장 크게 배운 점은?,1,1
어떤 회사가 훌륭한 회사라고 생각합니까?,1,1
인생에서 가장 필요한 사항은 무엇이라 생각하나요?,1,1
중소기업을 선택한 이유는 무엇입니까?,1,1
바람직한 사원상은 무엇이라고 생각합니까?,1,1
일과 사생활에 대해서 어떻게 생각합니까?,1,1
인생의 목표는 무엇입니까?,1,1
회사 근무를 하면서 가장 중요하다고 생각하는 것은 무엇입니까?,1,1
기업의 사회적인 책임은 무엇이라고 생각합니까?,1,1
어떤 아이템을 가지고 어떤 일을 해 보고 싶습니까?,1,1
본인이 리더로 추진했던 일이 있습니까? 있다면 어떤 성과가 나왔는지 말해보세요.,1,1
"본인은 따라가는 스타일입니까, 아니면 주도하는 스타일입니까?",1,1
자신의 능력 밖을 벗어난 업무가 주어진다면 어떻게 하겠습니까?,1,1
인생에서 가장 열정적인 순간은 언제였습니까?,1,1
어떤 일에 적극적으로 임한 순간은 언제였습니까?,1,1
"유능한 영업맨이 되고 싶다고 했는데, 어린 시절의 꿈은 무엇입니까?",1,1
인생의 최종 꿈은 무엇입니까?,1,1
어떤 경영 스타일일때 자신의 능력이 최대가 되나,2,1
상사의 말이 확실히 틀렸을 때는 어떻게 할 것인가,2,1
본인 만의 커뮤니케이션 방법은,2,1
집안이 무너질 때 도와줄 친구는 몇명인가,2,1
직원으로서 필요한 덕목이 무엇이라고 생각합니까?,2,1
입사 후 회사와 맞지 않는다면 어떻게 하시겠습니까?,2,1
당신은 조직에서 어떤 유형의 사람을 싫어하나요?,2,1
"어울리기 힘들었던 사람과 공동의 이익을 만들 수 있었던 경험이 있다면, 그 경험에 대해 말해주세요.",2,1
당신은 조직 활동을 하면서 어떤 성취를 경험했나요?,2,1
어떤 상황에서 스트레스를 받나요?,2,1
본인의 업무스타일은 어떤 유형인가요?,2,1
업무강도가 센 편입니다. 괜찮습니까?,2,1
상사와 의견이 다를 때는 어떻게 대처할 것입니까?,2,1
상사가 부당한 업무지시를 시킨다면 어떻게 할 것입니까?,2,1
남이 하기 싫어하는 일을 한 경험을 말해보세요.,2,1
노래방에서 몇 시간이나 놀 수 있습니까?,2,1
거래처와의 갈등이 있을 경우 어떻게 대처하겠습니까?,2,1
고객이 불만사항을 제기하면 어떻게 대처하겠습니까?,2,1
